Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect,FID_Distance,Synopsis,Notes,Paper_Retained
D161,Liam,Disturbances by dog barking increase vigilance in coots Fulica atra,"Randler, C.",2006,European Journal of Wildlife Research,,,,,,,,,,,,,,,,,,
D162,Liam,Reactions to human disturbances in an urban population of the Swan Goose Anser cygnoides in Heidelberg (SW Germany),"Randler, C.",2003,Acta Ornithologica,,,,,,,,,,,,,,,,,,
D163,Liam,Factors affecting the behavioural responses of whooper swans (Cygnus c. cygnus) to various human activities,"Rees, EC.",2005,Biological Conservation,,,,,,,,,,,,,,,,,,
D164,Liam,The impact of disturbance on the behaviour and energy budgets of Brent geese Branta-b-bernicla,"Riddington, R.",1996,Bird Study,,,,,,,,,,,,,,,,,,
D165,Liam,Buffer-zone distances to protect foraging and loafing waterbirds from disturbance by personal watercraft and outboard-powered boats,"Rodgers, JA.",2002,Conservation Biology,,,,,,,,,,,,,,,,,,
D166,Liam,Thinking Like a Duck: Fall Lake Use and Movement Patterns of Juvenile Ring-Necked Ducks before Migration,"Roy, CL.",2014,PLoS One,,,,,,,,,,,,,,,,,,
D167,Liam,Refuge Use by Hatching-Year Ring-Necked Ducks: An Individual-Based Telemetry Approach,"Roy, CL.",2014,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D168,Liam,"Winter microhabitat distribution of coots (Fulica atra L.1758) on gravel-pit wetlands in the Garonne river floodplain, Southwest France","Santoul, F.",2004,Belgian Journal of Zoology,,,,,,,,,,,,,,,,,Mortality?,
D169,Liam,Effects of disturbance on activity and energy budgets of migrating waterbirds in south-central Oklahoma,"Schummer, ML.",2003,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D170,Liam,Land Cover Switching in Autumn by Female Mallards in Ohio,"Shirkey, BT.",2020,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D171,Liam,Is it worthwhile scaring geese to alleviate damage to crops? - An experimental study,"Simonsen, CE.",2016,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D172,Liam,Effect of Weekly Hunting Frequency on Duck Abundances in Mississippi Wildlife Management Areas,"St James, EA.",2013,Journal of Fish and Wildlife Management,,,,,,,,,,,,,,,,,,
D173,Liam,Wetland use by Mallards during spring and fall in the Illinois and central Mississippi river valleys,"Stafford, JD.",2007,Waterbirds,,,,,,,,,,,,,,,,,,
D174,Liam,Historical and Contemporary Characteristics and Waterfowl Use of Illinois River Valley Wetlands,"Stafford, JD.",2010,Wetlands,,,,,,,,,,,,,,,,,,
D175,Liam,"Compensatory limits: energy budgets of Brent Geese, Branta b-bernicla, the influence of human disturbance","Stock, M.",1997,Journal fur Ornithologie,,,,,,,,,,,,,,,,,,
D176,Liam,Effects of hunting pressure and collection method bias on body mass of drake mallards,"Szymanski, ML.",2013,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D177,Liam,Population control by means of organised hunting effort: Experiences from a voluntary goose hunting arrangement,"Tombre, IM.",2022,Ambio,,,,,,,,,,,,,,,,,,
D178,Liam,Influence of organised scaring on distribution and habitat choice of geese on pastures in Northern Norway,"Tombre, IM.",2005,"Agriculture, Ecosystems & Environment",,,,,,,,,,,,,,,,,,
D179,Liam,Foraging Shorebird Response to Trail Use Around San Francisco Bay,"Trulio, LA.",2008,Journal of Wildlife Management,,,,,,,,,,,,,,,,,,
D180,Liam,Hunting disturbance and the timing of autumn migration in Anas species,"Vaananen, VM.",2001,Wildlife Biology,,,,,,,,,,,,,,,,,,
D181,Liam,"Cumulative energetic costs of military aircraft, recreational and natural disturbance in roosting shorebirds","Van der Kolk, H.",2020,Animal Conservation,,,,,,,,,,,,,,,,,,
D182,Liam,The hidden cost of disturbance: Eurasian Oystercatchers (Haematopus ostralegus) avoid a disturbed roost site during the tourist season,"Van der Kolk, H.",2022,Ibis,,,,,,,,,,,,,,,,,,
D183,Liam,Cost-effectiveness of scaring brent geese Branta bernicla bernicla from fields of arable crops by a human bird scarer,"Vickery, JA.",1992,Crop Protection,,,,,,,,,,,,,,,,,,
D184,Liam,Effects of severe anthropogenic disturbance on the heart rate and body temperature in free-living greylag geese (Anser anser),"Wascher, CAF",2022,Conservation Physiology,,,,,,,,,,,,,,,,,,
D185,Liam,Factors Influencing Behavior of Wetland Birds in the Rainwater Basin during Spring Migration,"Webb, EB.",2011,Waterbirds,,,,,,,,,,,,,,,,,,
D186,Liam,Predicting the impacts of disturbance on shorebird mortality using a behaviour-based model,"West, AD.",2002,Biological Conservation,,,,,,,,,,,,,,,,,,
D187,Liam,"The effects of human presence, flock size and prey density on shorebird foraging rates","Yasue, M.",2005,Journal of Ethology,,,,,,,,,,,,,,,,,,
D188,Liam,Microhabitat variables explain patch switching by wintering Bewick's swans through giving-up net energy intake rates,"Yu, C.",2020,Environmental Science and Pollution Research,,,,,,,,,,,,,,,,,,
D189,Liam,Lateralization in monogamous pairs: wild geese prefer to keep their partner in the left hemifield except when disturbed,Zaynagutdinova,2021,Current Zoology,,,,,,,,,,,,,,,,,,
D190,Liam,Evidence of the Trade-Off between Starvation and Predation Risks in Ducks,"Zimmer, C.",2019,PLoS One,,,,,,,,,,,,,,,,,,
